"FLUENCIA","RES_TRA","RELACION","ALARGA","PE_MET"
465,597,1.28,15.8,0.534
468,598,1.28,15.4,0.532
470,592,1.26,14.9,0.535
462,590,1.28,16,0.535
479,622,1.3,15,3.813
478,617,1.29,16.2,3.77
481,617,1.28,16,3.787
480,620,1.29,16.5,3.788
482,624,1.29,16.9,3.786
457,611,1.34,15.3,3.786
484,610,1.26,15.6,3.762
471,670,1.42,17.3,11.006
470,696,1.48,18.7,10.955
492,621,1.26,16.7,0.545
461,578,1.25,17.7,0.541
486,605,1.25,16.3,0.547
483,615,1.27,16.9,0.545
486,605,1.25,16.3,0.547
463,592,1.28,15.8,0.531
479,598,1.25,15.5,0.53
491,612,1.25,16.1,0.532
471,601,1.28,16.3,0.532
473,600,1.27,15.2,0.534
459,583,1.27,16.1,0.533
468,598,1.28,15.4,0.532
464,591,1.27,16.5,0.845
468,600,1.28,17.8,0.84
460,631,1.37,17.3,7.596
491,635,1.29,15.8,0.543
483,612,1.27,15.6,0.545
483,615,1.27,16.9,0.545
501,623,1.25,15.5,0.542
497,636,1.28,15.3,0.547
483,612,1.27,15.6,0.545
465,602,1.29,15.7,2.106
484,618,1.28,17.1,2.119
471,614,1.3,15.8,2.118
470,610,1.3,16.5,2.118
476,604,1.27,16.1,2.115
486,626,1.29,15.6,2.119
478,619,1.29,16.1,2.109
479,621,1.29,15.2,2.123
489,625,1.28,15.8,2.112
492,636,1.29,15.2,2.122
504,636,1.26,15.1,2.116
506,646,1.28,15.3,2.138
512,645,1.26,14.9,2.134
492,621,1.26,16.7,0.545
490,612,1.25,16.2,0.546
483,612,1.27,15.6,0.545
483,615,1.27,16.9,0.545
486,605,1.25,16.3,0.547
465,602,1.29,15.7,2.106
498,630,1.27,15.1,2.116
508,646,1.27,14.8,2.129
470,609,1.3,15.9,2.129
453,591,1.3,17.1,2.12
520,661,1.27,14.9,2.132
495,625,1.26,15.7,2.135
495,640,1.29,16.1,2.109
498,630,1.27,15.1,2.116
508,646,1.27,14.8,2.129
471,614,1.3,15.8,2.118
482,619,1.28,17.9,2.123
470,609,1.3,15.9,2.129
453,591,1.3,17.1,2.12
520,661,1.27,14.9,2.132
473,616,1.3,14.8,2.109
510,636,1.25,14.2,2.134
456,609,1.33,16.3,2.11
506,646,1.28,15.3,2.138
466,621,1.33,16.8,2.139
470,604,1.29,16.1,2.137
552,682,1.24,13.8,1.541
584,720,1.23,14.2,1.543
588,725,1.23,13.8,1.566
556,686,1.23,14.2,1.544
572,720,1.26,13.3,1.547
578,721,1.25,13.8,1.55
562,713,1.27,13.2,1.538
580,731,1.26,12.1,1.536
578,720,1.25,12.2,1.543
577,705,1.22,12.6,1.538
579,713,1.23,12.7,1.54
561,710,1.27,12.9,1.542
577,726,1.26,12.6,1.535
569,726,1.28,13.1,1.54
541,722,1.33,14.3,2.408
556,728,1.31,15.8,2.41
486,605,1.25,16.3,0.547
459,583,1.27,16.1,0.533
463,592,1.28,15.8,0.531
464,588,1.27,16,0.533
463,577,1.25,16.2,1.484
452,583,1.29,16.1,1.489
448,579,1.29,17.9,1.475
457,577,1.26,18.4,1.478
470,587,1.25,15.6,1.473
482,605,1.26,17.3,1.474
456,585,1.28,16.1,1.475
471,592,1.26,16.9,1.473
463,598,1.29,17,1.465
466,591,1.25,16,1.47
479,605,1.26,15.4,1.468
487,615,1.25,16.2,1.473
474,591,1.25,16.2,1.469
473,597,1.26,16.1,1.47
479,601,1.25,16,1.474
470,591,1.26,16.4,1.469
464,583,1.26,16.3,1.473
484,618,1.28,17.1,2.119
486,623,1.28,16.4,2.12
584,720,1.23,14.2,1.543
572,720,1.26,13.3,1.547
578,721,1.25,13.8,1.55
562,713,1.27,13.2,1.538
577,705,1.22,12.6,1.538
579,713,1.23,12.7,1.54
561,710,1.27,12.9,1.542
574,735,1.28,13.2,2.422
561,735,1.31,12.9,2.433
573,747,1.3,13.2,2.434
541,722,1.33,14.3,2.408
576,746,1.3,13.7,2.403
575,747,1.3,13.1,2.425
580,740,1.28,13.6,2.418
577,743,1.29,13.3,2.421
573,750,1.31,14.4,2.413
587,755,1.29,13.1,2.415
599,756,1.26,14.2,2.41
568,742,1.31,13.6,2.415
471,624,1.32,16.7,2.127
479,614,1.28,15.2,0.549
456,580,1.27,16.8,1.47
481,601,1.25,17.2,1.474
464,583,1.26,16.8,1.471
453,577,1.27,16.2,1.468
473,597,1.26,16.1,1.47
479,601,1.25,16,1.474
470,591,1.26,16.4,1.469
464,583,1.26,16.3,1.473
464,587,1.27,16.2,1.47
466,588,1.26,17,1.482
475,593,1.25,15.3,1.471
472,590,1.25,15.5,1.47
461,581,1.26,16.8,1.467
472,601,1.27,16.2,1.47
481,602,1.25,18.2,1.474
490,614,1.25,16.3,1.473
499,622,1.25,16.3,1.469
475,593,1.25,15.3,1.471
483,602,1.25,15.9,1.47
490,614,1.25,16.3,1.473
499,622,1.25,16.3,1.469
560,691,1.23,17.3,0.599
574,706,1.23,16.8,0.601
604,724,1.2,16.3,0.599
560,708,1.26,17.7,0.598
544,696,1.28,17.8,0.599
574,717,1.25,17.5,0.6
640,772,1.21,16.8,0.6
592,719,1.21,16.2,0.599
555,685,1.23,18.6,0.606
578,726,1.26,17.2,0.598
590,718,1.22,17.3,0.605
574,697,1.21,17.1,0.598
570,718,1.26,17.1,0.592
618,765,1.28,17.1,0.596
470,604,1.29,16.1,2.137
490,611,1.25,16.6,1.47
588,725,1.23,13.8,1.566
553,690,1.25,15.7,0.594
595,714,1.2,14.3,0.597
559,679,1.21,16.1,0.597
573,687,1.2,14.9,0.597
577,687,1.19,14.7,0.596
572,685,1.2,15.8,0.595
581,701,1.21,16.7,0.598
601,708,1.18,14.8,0.6
561,684,1.22,16.5,0.6
573,687,1.2,16.9,0.598
586,713,1.22,15.1,0.6
572,686,1.2,14.7,0.603
590,726,1.23,13.7,0.598
609,776,1.27,12.1,0.598
600,759,1.27,16,0.595
599,741,1.24,13.9,0.605
604,743,1.23,13.9,0.601
593,725,1.22,15.4,0.602
594,713,1.2,15.5,0.601
586,690,1.18,14.7,0.599
552,740,1.34,14.8,2.4
604,720,1.19,13.9,0.601
577,699,1.21,13.6,0.598
590,707,1.2,14.8,0.6
592,708,1.2,16.5,0.6
584,706,1.21,16.8,0.6
587,709,1.21,16.6,0.6
601,708,1.18,15.7,0.601
631,745,1.18,14.7,0.603
599,720,1.2,15.1,0.596
586,706,1.2,15.6,0.597
606,718,1.18,13.9,0.605
588,714,1.21,16.5,0.602
581,699,1.2,15.6,0.597
583,703,1.21,16.6,0.598
573,742,1.29,12.6,0.6
575,697,1.21,15.7,0.597
582,748,1.29,15.4,0.602
591,727,1.23,16.5,0.601
600,759,1.27,16,0.595
599,741,1.24,13.9,0.605
591,735,1.24,17.8,0.598
570,718,1.26,17.1,0.592
593,743,1.25,16.7,0.596
584,714,1.22,17.3,0.599
605,722,1.19,16.1,0.601
465,582,1.25,18.5,0.961
448,578,1.29,18.5,0.961
474,601,1.27,18.1,0.96
467,587,1.26,17.8,0.96
470,591,1.26,19.3,0.965
461,586,1.27,16.6,1.349
465,581,1.25,17,1.352
481,601,1.25,16.6,0.942
462,579,1.25,17.6,0.94
458,579,1.26,15.4,0.942
476,593,1.25,17.5,0.946
460,576,1.25,17,0.945
488,609,1.25,16.3,0.947
463,580,1.25,17.5,0.945
476,593,1.25,17.5,0.946
458,579,1.26,15.4,0.942
476,593,1.25,17.5,0.946
587,709,1.21,16.6,0.6
601,708,1.18,15.7,0.601
631,745,1.18,14.7,0.603
586,706,1.2,15.6,0.597
575,697,1.21,15.7,0.597
582,748,1.29,15.4,0.602
591,727,1.23,16.5,0.601
584,714,1.22,17.3,0.599
605,722,1.19,16.1,0.601
476,597,1.25,16.4,0.944
474,595,1.26,15.5,0.947
458,579,1.26,15.4,0.942
459,575,1.25,15.8,0.945
448,568,1.27,16,0.942
474,595,1.26,16.5,0.943
460,576,1.25,17,0.945
484,606,1.25,16.4,0.942
469,594,1.27,16,0.944
492,614,1.25,15.8,0.946
462,583,1.26,16.1,0.944
456,587,1.29,16.2,0.942
469,588,1.25,15.9,0.946
475,597,1.26,16,0.944
472,593,1.26,16.5,0.945
478,598,1.25,17.2,0.95
474,593,1.25,15.6,0.948
480,602,1.25,15.9,0.945
480,600,1.25,16.5,0.95
464,578,1.25,16.1,0.947
482,609,1.26,16.2,0.946
450,579,1.29,15.6,0.942
459,582,1.27,15.7,0.943
604,720,1.19,13.9,0.601
577,699,1.21,13.6,0.598
595,714,1.2,14.3,0.597
586,693,1.18,14.8,0.599
585,700,1.2,16.6,0.599
577,687,1.19,14.7,0.596
572,685,1.2,15.8,0.595
592,708,1.2,16.5,0.6
584,706,1.21,16.8,0.6
631,745,1.18,14.7,0.603
599,720,1.2,15.1,0.596
606,718,1.18,13.9,0.605
588,714,1.21,16.5,0.602
581,699,1.2,15.6,0.597
591,701,1.19,15.5,0.601
581,701,1.21,16.7,0.598
601,708,1.18,14.8,0.6
583,703,1.21,16.6,0.598
572,686,1.2,14.7,0.603
590,726,1.23,13.7,0.598
597,727,1.22,16.8,0.599
573,742,1.29,12.6,0.6
582,748,1.29,15.4,0.602
600,759,1.27,16,0.595
599,741,1.24,13.9,0.605
620,752,1.21,14,0.601
593,725,1.22,15.4,0.602
594,713,1.2,15.5,0.601
471,595,1.26,16,0.945
469,594,1.27,16,0.944
478,598,1.25,17.2,0.95
474,593,1.25,15.6,0.948
468,585,1.25,16.1,0.941
476,595,1.25,18.2,0.945
467,590,1.26,17,0.945
482,609,1.26,16.2,0.946
456,586,1.29,17.5,0.947
465,602,1.29,17.7,0.945
456,574,1.26,16.5,0.945
455,576,1.27,16.7,0.944
476,598,1.26,17.3,0.943
475,598,1.26,16.3,0.945
457,575,1.26,15.3,0.944
453,594,1.31,16.5,0.948
480,598,1.25,16.1,0.94
469,593,1.26,15.3,0.944
462,579,1.25,17.6,0.94
458,579,1.26,15.4,0.942
459,582,1.27,15.7,0.943
475,598,1.26,16.3,0.945
472,602,1.28,16,0.941
603,735,1.22,16.3,0.6
581,701,1.21,16.7,0.598
597,727,1.22,16.8,0.599
560,691,1.23,17.3,0.599
572,693,1.21,16.2,0.602
571,707,1.24,16.3,0.598
560,708,1.26,17.7,0.598
557,699,1.25,18.2,0.601
574,717,1.25,17.5,0.6
640,772,1.21,16.8,0.6
583,710,1.22,18.3,0.6
593,725,1.22,15.4,0.602
592,719,1.21,16.2,0.599
594,713,1.2,15.5,0.601
555,685,1.23,18.6,0.606
591,735,1.24,17.8,0.598
622,723,1.16,16.6,0.601
574,697,1.21,17.1,0.598
570,718,1.26,17.1,0.592
593,743,1.25,16.7,0.596
467,597,1.28,16.2,0.945
465,592,1.27,15.5,0.942
459,588,1.28,15.9,0.942
473,595,1.26,15.9,0.945
459,582,1.27,15.7,0.943
458,589,1.29,15.3,0.947
457,589,1.29,17.1,0.951
475,598,1.26,15.6,0.942
485,614,1.27,16.7,0.945
484,604,1.25,16.4,0.942
461,589,1.28,16.9,0.943
488,608,1.25,18.4,0.941
470,593,1.26,16.7,0.943
473,646,1.37,14.1,0.212
446,641,1.44,14.7,0.217
469,661,1.41,14.3,0.215
449,622,1.39,14,0.212
443,628,1.42,14.4,0.214
577,699,1.21,13.6,0.598
595,714,1.2,14.3,0.597
572,685,1.2,15.8,0.595
601,708,1.18,15.7,0.601
584,699,1.2,15.8,0.6
599,720,1.2,15.1,0.596
591,701,1.19,15.5,0.601
587,690,1.18,15,0.601
561,684,1.22,16.5,0.6
573,687,1.2,16.9,0.598
586,713,1.22,15.1,0.6
572,686,1.2,14.7,0.603
560,691,1.23,17.3,0.599
638,771,1.21,16.8,0.599
560,708,1.26,17.7,0.598
574,717,1.25,17.5,0.6
640,772,1.21,16.8,0.6
582,748,1.29,15.4,0.602
600,759,1.27,16,0.595
583,710,1.22,18.3,0.6
555,685,1.23,18.6,0.606
587,690,1.18,15,0.601
593,743,1.25,16.7,0.596
471,588,1.25,16,0.941
474,592,1.25,15.4,0.947
471,595,1.26,16.4,0.943
461,586,1.27,16.1,0.946
468,598,1.28,16,0.942
457,589,1.29,17.1,0.951
479,603,1.26,17.3,0.942
475,595,1.25,16.5,0.945
462,600,1.3,17.1,0.941
485,609,1.26,15.6,0.947
471,603,1.28,15.8,0.946
456,579,1.27,17.2,0.95
480,601,1.25,19.5,0.954
465,588,1.26,17.5,0.949
460,584,1.27,15.9,0.948
457,577,1.26,16.8,0.941
460,588,1.28,17.5,0.953
463,589,1.27,16,0.947
467,588,1.26,16.9,0.946
475,595,1.25,16.5,0.945
506,690,1.36,14.2,0.22
448,649,1.45,14.1,0.213
473,646,1.37,14.1,0.212
446,641,1.44,14.7,0.217
469,661,1.41,14.3,0.215
564,716,1.27,18.9,0.382
554,697,1.26,17.7,0.39
556,691,1.24,17.1,0.391
577,725,1.26,17.7,0.392
561,693,1.24,17.7,0.387
554,690,1.25,20.9,0.389
552,688,1.25,14.4,0.388
559,698,1.25,16.4,0.391
556,700,1.26,18.4,0.387
528,669,1.27,12.7,0.388
581,715,1.23,18.9,0.389
540,683,1.26,19.3,0.393
545,683,1.25,17.6,0.389
536,678,1.26,17.1,0.388
565,704,1.25,16.6,0.391
588,716,1.22,17.7,0.39
462,600,1.3,17.1,0.942
480,601,1.25,19.5,0.954
465,588,1.26,17.5,0.949
460,588,1.28,17.5,0.953
472,602,1.28,16,0.941
580,730,1.26,21.4,0.389
565,699,1.24,20.9,0.39
583,733,1.26,21.6,0.388
556,702,1.26,18.4,0.39
548,688,1.26,19.1,0.388
557,691,1.24,20.2,0.386
541,679,1.26,19,0.387
558,699,1.25,18.9,0.388
563,706,1.25,18.6,0.387
545,683,1.25,17.6,0.389
536,678,1.26,17.1,0.388
569,707,1.24,18.9,0.39
581,733,1.26,18.6,0.386
547,686,1.25,17.9,0.385
462,618,1.34,17.1,7.533
545,689,1.26,19.7,0.388
485,611,1.26,16.5,0.531
555,698,1.26,22.4,0.392
566,707,1.25,18.6,0.388
556,686,1.23,21.4,0.392
557,691,1.24,20.2,0.386
580,730,1.26,21.4,0.389
565,699,1.24,20.9,0.39
583,733,1.26,21.6,0.388
556,702,1.26,18.4,0.39
568,706,1.24,18.6,0.387
548,688,1.26,19.1,0.388
541,679,1.26,19,0.387
573,723,1.26,18.4,0.388
558,701,1.26,18.6,0.39
581,722,1.24,18.1,0.388
473,648,1.37,14.2,0.218
427,642,1.5,14.2,0.215
458,702,1.53,14.1,0.216
456,614,1.35,14.2,0.213
469,655,1.4,14,0.216
571,714,1.25,19.2,0.384
558,707,1.27,19.8,0.383
552,688,1.25,18.6,0.388
559,694,1.24,19.8,0.384
551,693,1.26,19.8,0.388
547,696,1.27,19.7,0.378
548,697,1.27,20.4,0.386
558,707,1.27,20.7,0.39
555,698,1.26,22.4,0.392
546,689,1.26,18.9,0.388
566,707,1.25,18.6,0.388
545,692,1.27,19,0.388
566,704,1.24,17.9,0.388
545,683,1.25,17.6,0.389
536,678,1.26,17.1,0.388
547,686,1.25,17.9,0.385
474,593,1.25,15.6,0.948
467,590,1.26,17,0.945
455,576,1.27,16.7,0.944
473,648,1.37,14.2,0.218
454,600,1.32,15.1,0.214
447,597,1.34,14.3,0.214
437,595,1.36,14.1,0.212
455,615,1.35,14.9,0.217
437,660,1.51,14.1,0.218
455,613,1.35,17.6,0.215
433,619,1.43,16.8,0.215
436,617,1.42,14.5,0.215
428,670,1.57,14.3,0.216
431,652,1.51,15.3,0.214
447,611,1.37,14.2,0.212
516,695,1.35,15,0.382
470,699,1.49,15,0.38
471,705,1.5,14.7,0.384
459,750,1.63,15.2,0.383
517,662,1.28,15.6,0.384
514,654,1.27,15.1,0.382
510,653,1.28,15.9,0.381
533,690,1.29,15.5,0.378
526,672,1.28,16.4,0.379
516,672,1.3,15.9,0.381
529,679,1.28,15.1,0.382
518,678,1.31,15.5,0.38
532,701,1.32,16.1,0.383
514,704,1.37,15.3,0.383
513,684,1.33,15.9,0.381
517,662,1.28,15.6,0.384
513,684,1.33,15.9,0.381
265,376,0,24.1,0
266,379,0,24.4,0
278,382,0,24.2,0
252,379,0,24.4,0
454,600,1.32,15.1,0.214
437,660,1.51,14.1,0.218
455,613,1.35,17.6,0.215
0,398,0,0,0
0,377,0,0,0
0,372,0,0,0
0,387,0,0,0
0,388,0,0,0
0,400,0,0,0
0,389,0,0,0
0,377,0,0,0
0,394,0,0,0
0,384,0,0,0
558,707,1.27,19.8,0.383
559,694,1.24,19.8,0.384
551,693,1.26,19.8,0.388
545,689,1.26,19.7,0.388
547,696,1.27,19.7,0.378
546,689,1.26,18.9,0.388
566,707,1.25,18.6,0.388
556,686,1.23,21.4,0.392
557,691,1.24,20.2,0.386
580,730,1.26,21.4,0.389
565,699,1.24,20.9,0.39
583,733,1.26,21.6,0.388
556,702,1.26,18.4,0.39
568,706,1.24,18.6,0.387
548,688,1.26,19.1,0.388
549,701,1.28,21,0.39
558,701,1.26,18.6,0.39
581,722,1.24,18.1,0.388
470,602,1.28,15.6,0.952
467,588,1.26,16.9,0.946
474,593,1.25,15.5,0.946
461,578,1.25,15.3,0.944
452,572,1.27,16.1,0.945
455,579,1.27,16.1,0.94
442,573,1.29,16.3,0.944
464,585,1.26,16.3,0.947
473,591,1.25,15.6,0.948
457,580,1.27,17.5,0.94
466,595,1.28,14.5,0.947
473,590,1.25,16.2,0.949
461,578,1.25,15.1,0.947
462,589,1.27,16.9,0.943
462,583,1.26,15.9,0.945
461,578,1.25,15.3,0.944
452,572,1.27,16.1,0.945
455,579,1.27,16.1,0.94
442,573,1.29,16.3,0.944
464,585,1.26,16.3,0.947
473,591,1.25,15.6,0.948
457,580,1.27,17.5,0.94
466,595,1.28,14.5,0.947
473,590,1.25,16.2,0.949
461,578,1.25,15.1,0.947
462,589,1.27,16.9,0.943
442,633,1.43,14,1.473
443,639,1.44,16.8,1.464
439,648,1.48,15.9,1.473
466,663,1.42,15,1.473
480,648,1.35,14.3,1.498
431,660,1.53,15.7,1.493
468,669,1.43,14.9,1.472
548,688,1.26,19.1,0.388
571,709,1.24,18.3,0.388
498,622,1.25,17.3,0.54
504,630,1.25,15.5,0.535
498,623,1.25,14.6,0.536
456,590,1.29,16.3,0.943
473,600,1.27,15.9,0.945
469,593,1.26,15.7,0.944
473,599,1.27,15.3,0.948
471,603,1.28,16.2,0.943
469,591,1.26,16.1,0.942
464,590,1.27,16.6,0.947
480,602,1.25,15.8,0.948
475,599,1.26,17.1,0.945
487,607,1.25,18.2,0.945
475,594,1.25,16.1,0.948
467,594,1.27,16.6,0.946
469,597,1.27,16.4,0.95
452,586,1.3,17.1,0.944
467,585,1.25,16.1,0.941
441,574,1.3,16.6,0.942
471,587,1.25,15.8,0.948
466,598,1.28,14.8,0.942
473,603,1.27,16.3,0.947
489,611,1.25,15.6,0.944
481,611,1.27,15.8,0.945
469,594,1.27,15.7,0.946
480,602,1.25,15.8,0.948
463,589,1.27,17.3,0.94
435,652,1.5,14.6,1.489
443,579,1.31,15,0.535
469,588,1.25,15.8,0.535
478,601,1.26,14.7,0.534
465,584,1.26,14.9,0.533
456,576,1.26,16.3,0.534
454,575,1.27,15.2,0.535
453,581,1.28,15.8,0.532
455,587,1.29,14.9,0.533
487,611,1.25,16.2,0.534
460,581,1.26,14.9,0.534
454,591,1.3,15.6,0.532
453,591,1.3,15.1,0.533
478,598,1.25,15.4,0.532
456,585,1.28,15.3,0.532
468,590,1.26,15.8,0.531
456,599,1.31,14.6,0.532
457,597,1.31,15.7,0.531
452,598,1.32,16.2,0.533
490,612,1.25,15.4,0.533
483,613,1.27,15.1,0.531
457,591,1.29,16.1,0.532
467,593,1.27,15.8,0.534
456,576,1.26,16.3,0.534
453,581,1.28,15.8,0.532
455,587,1.29,14.9,0.533
487,611,1.25,16.2,0.534
460,581,1.26,14.9,0.534
481,604,1.26,15.6,0.531
468,593,1.27,15.3,0.532
457,591,1.29,16.1,0.532
464,595,1.28,16.5,0.537
498,623,1.25,14.6,0.536
559,694,1.24,19.8,0.384
545,689,1.26,19.7,0.388
556,686,1.23,21.4,0.392
583,733,1.26,21.6,0.388
556,702,1.26,18.4,0.39
561,693,1.24,17.7,0.387
548,688,1.26,19.1,0.388
571,709,1.24,18.3,0.388
541,679,1.26,19,0.387
546,693,1.27,18.9,0.389
558,701,1.26,18.6,0.39
563,706,1.25,18.6,0.387
569,707,1.24,18.9,0.39
469,591,1.26,16.6,0.536
465,599,1.29,15.3,0.531
481,607,1.26,16,0.535
443,579,1.31,15,0.535
456,576,1.26,16.3,0.534
453,569,1.26,15.6,0.534
451,583,1.29,15.7,0.536
476,593,1.25,15.8,0.535
450,591,1.31,16.5,0.537
481,604,1.26,15.6,0.531
478,598,1.25,15.4,0.532
469,599,1.28,15.6,0.533
473,607,1.28,15.8,0.531
453,598,1.32,15.5,0.532
468,593,1.27,15.3,0.532
473,598,1.26,15.4,0.533
467,603,1.29,15.3,0.531
457,591,1.29,16.1,0.532
464,595,1.28,16.5,0.537
498,623,1.25,14.6,0.536
470,601,1.28,15.8,0.532
462,598,1.29,15.5,0.53
467,596,1.28,15.8,0.531
475,601,1.27,16.1,0.533
473,606,1.28,15.6,0.532
492,614,1.25,14.9,0.534
463,589,1.27,15.8,0.536
482,605,1.26,15.4,0.533
468,590,1.26,15.8,0.531
470,601,1.28,15.8,0.532
452,586,1.3,17.1,0.944
441,574,1.3,16.6,0.942
471,587,1.25,15.8,0.948
399,526,0,25.4,0
363,476,0,25.4,0
370,475,0,25.4,0
364,489,0,25.3,0
422,547,0,24.2,0
362,492,0,25.1,0
0,356,0,38.7,0
0,351,0,38.2,0
477,594,1.25,15.9,0.532
476,601,1.26,15.8,0.531
476,600,1.26,15.3,0.533
458,593,1.29,15.7,0.535
488,617,1.26,15.3,0.534
469,591,1.26,16.6,0.536
454,591,1.3,15.6,0.532
473,607,1.28,15.8,0.531
483,613,1.27,15.1,0.531
472,601,1.27,15.3,0.531
473,606,1.28,15.6,0.532
492,614,1.25,14.9,0.534
444,571,1.29,16.7,1.476
457,573,1.25,18.5,1.478
448,581,1.3,16.5,1.477
450,573,1.27,15.4,1.475
468,591,1.26,15.5,1.471
461,589,1.28,15.4,1.47
478,605,1.27,15.6,1.474
476,594,1.25,15.6,1.473
431,660,1.53,15.7,1.493
445,669,1.5,15,0.54
367,494,0,25.2,0
364,489,0,25.3,0
355,546,0,21.6,0
376,549,0,22.6,0
326,449,0,25.5,0
340,454,0,24.3,0
345,479,0,23.8,0
450,550,0,22.9,0
353,483,0,23.3,0
366,500,0,24.4,0
362,492,0,25.1,0
364,525,0,23.8,0
330,523,0,25.9,0
353,498,0,25.3,0
347,483,0,26.3,0
309,449,0,25.1,0
335,449,0,26.4,0
340,472,0,28.2,0
359,491,0,25.1,0
353,491,0,26.6,0
0,396,0,0,0
0,402,0,0,0
0,378,0,0,0
0,398,0,0,0
0,387,0,0,0
0,394,0,0,0
0,384,0,0,0
389,519,0,27.3,14.341
412,537,0,27,0
464,590,1.27,16.6,0.947
470,595,1.27,17.1,0.943
473,590,1.25,16.2,0.949
462,584,1.26,16.2,0.948
456,590,1.29,16.3,0.943
471,587,1.25,15.8,0.948
473,599,1.27,15.3,0.948
471,603,1.28,16.2,0.943
459,587,1.28,15.7,1.474
476,594,1.25,15.6,1.473
437,560,1.28,18.5,1.47
450,573,1.27,15.4,1.475
481,605,1.26,16,1.472
473,599,1.27,16.1,1.472
477,601,1.26,15.9,1.47
469,600,1.28,16,1.472
478,605,1.27,15.7,1.473
478,605,1.27,15.6,1.474
487,606,1.25,16.3,1.473
474,593,1.25,16.4,1.474
473,599,1.27,16.3,1.473
473,595,1.26,15,1.472
468,596,1.27,15.7,1.471
471,588,1.25,16,1.468
473,594,1.26,15.7,1.475
482,607,1.26,16.2,1.481
475,595,1.25,15.7,1.476
485,605,1.25,16.1,1.479
480,611,1.27,15.6,1.474
468,596,1.27,16.3,1.471
444,571,1.29,16.7,1.476
457,573,1.25,18.5,1.478
481,608,1.26,16.3,1.471
468,591,1.26,15.5,1.471
478,605,1.27,15.7,1.473
496,622,1.25,15.6,1.472
473,595,1.26,15,1.472
468,596,1.27,15.7,1.471
367,494,0,25.2,0
364,489,0,25.3,0
355,546,0,21.6,0
376,549,0,22.6,0
340,454,0,24.3,0
450,550,0,22.9,0
366,500,0,24.4,0
362,492,0,25.1,0
379,517,0,25.4,0.828
455,587,1.29,14.9,0.533
476,593,1.25,15.8,0.535
481,604,1.26,15.6,0.531
498,623,1.25,14.6,0.536
470,602,1.28,15.6,0.952
472,593,1.26,18.6,0.942
465,590,1.27,15.7,0.945
461,578,1.25,15.1,0.947
467,585,1.25,16.1,0.941
469,591,1.26,16.1,0.942
471,591,1.25,16.1,0.945
460,585,1.27,15.9,0.947
445,581,1.31,18.2,0.944
484,611,1.26,15.6,1.472
482,606,1.26,15.1,1.47
476,601,1.26,15.5,1.471
487,606,1.25,16.3,1.473
474,593,1.25,16.4,1.474
473,599,1.27,16.3,1.473
465,594,1.28,15.4,1.477
472,599,1.27,15.2,1.475
467,594,1.27,17.7,1.467
478,602,1.26,15.7,1.474
470,593,1.26,18.1,1.477
466,593,1.27,16.4,1.476
488,609,1.25,15.3,1.48
478,609,1.27,14.7,1.482
465,586,1.26,16.2,1.478
468,596,1.27,16.3,1.471
484,609,1.26,16.9,1.473
473,604,1.28,18.6,1.472
493,616,1.25,17.4,1.471
485,606,1.25,15.1,1.482
482,601,1.25,17.1,1.474
462,596,1.29,17,1.475
461,583,1.26,17.5,1.471
472,599,1.27,15.2,1.475
506,642,1.27,15.4,2.132
496,626,1.26,14.6,2.108
487,624,1.28,15,2.125
470,592,1.26,17.2,1.475
341,461,0,26.6,0.815
379,517,0,25.4,0.828
470,602,1.28,15.6,0.952
452,572,1.27,16.1,0.945
455,579,1.27,16.1,0.94
458,578,1.26,17.6,0.943
472,593,1.26,18.6,0.942
460,601,1.31,15.6,2.122
487,624,1.28,15,2.125
461,598,1.3,15.1,2.131
459,608,1.33,18.7,2.137
457,605,1.32,17.3,2.125
485,626,1.29,15.9,2.138
483,629,1.3,16.4,2.15
478,617,1.29,15.2,2.128
466,592,1.27,17,1.476
422,547,0,24.2,0
381,535,0,24,0.825
378,545,0,24.8,0.814
377,537,0,25.1,0.814
0,0,0,0,0.814
378,540,0,24.9,0.81
369,508,0,25.7,0.812
464,588,1.27,17.4,1.473
493,626,1.27,15.1,2.144
506,642,1.27,15.4,2.132
475,603,1.27,17.1,2.123
478,622,1.3,16.1,2.136
468,611,1.31,14.7,2.13
491,637,1.3,16,2.116
485,630,1.3,16.3,2.125
478,629,1.32,16.3,2.144
481,617,1.28,16.5,2.14
490,633,1.29,16.9,2.141
495,640,1.29,14.4,2.122
493,631,1.28,14.9,2.135
491,623,1.27,14.8,2.145
496,639,1.29,14.7,2.141
491,623,1.27,14.8,2.145
470,592,1.26,17.2,1.475
364,513,0,26.2,0.809
373,510,0,25.7,0.886
366,513,0,25,0.891
388,546,0,24.3,0.913
374,532,0,25.4,0.889
367,511,0,25.8,0.883
385,527,0,25.1,0.897
353,515,0,27.6,1.627
397,532,0,26.4,9.893
410,542,0,27.1,9.927
392,529,0,27.4,18.782
373,507,0,28.7,19.041
469,591,1.26,16.2,0.532
487,611,1.25,16.3,0.534
489,623,1.27,15.2,0.536
503,628,1.25,15.6,0.543
497,622,1.25,14.9,0.545
488,620,1.27,15.9,0.536
469,592,1.26,14.9,0.532
462,597,1.29,16.8,0.534
486,607,1.25,14.8,0.536
493,617,1.25,15.8,0.539
479,606,1.27,16.1,0.539
476,606,1.27,15.9,0.539
485,619,1.28,15.1,0.538
497,622,1.25,14.9,0.545
493,617,1.25,15.8,0.539
479,606,1.27,16.1,0.539
477,619,1.3,16.2,2.139
