"FLUENCIA","RES_TRA","RELACION","ALARGA","PE_MET"
480,608,1.27,16.2,0.537
458,582,1.27,15.2,0.95
454,582,1.28,15.7,0.947
477,601,1.26,15.6,0.952
480,603,1.26,15.4,0.948
473,595,1.26,18.8,3.821
472,613,1.3,16.3,3.835
492,628,1.28,20.1,3.835
485,620,1.28,17.3,3.827
458,589,1.29,16.4,3.827
491,620,1.26,19.3,3.836
473,601,1.27,16.8,3.798
449,594,1.32,18.8,3.81
464,597,1.29,17.5,3.833
459,595,1.3,17.4,3.8
342,496,0,28.7,0
337,481,0,29.1,0
313,462,0,30.1,0
344,487,0,26.5,0
346,494,0,26,0
345,494,0,27.2,0
336,489,0,30.8,0
288,412,0,26.6,0
287,405,0,25.2,0
288,411,0,24.3,0
275,398,0,25.1,0
296,409,0,25.3,0
301,417,0,23.6,0
288,399,0,24.9,0
293,409,0,23.4,0
482,606,1.26,16.7,3.813
479,599,1.25,17.6,3.826
476,594,1.25,15.3,0.948
467,593,1.27,15.8,0.953
460,597,1.3,16.3,0.942
459,582,1.27,16.7,0.95
464,590,1.27,15.8,0.948
441,563,1.28,15.2,0.948
489,612,1.25,17.7,0.949
473,610,1.29,16.6,0.948
474,592,1.25,16.4,0.943
477,601,1.26,15.6,0.952
480,603,1.26,15.4,0.948
486,629,1.29,17.1,3.815
470,600,1.28,15.4,3.814
490,628,1.28,17.4,3.805
486,629,1.29,17.1,3.815
468,597,1.28,17.1,3.8
513,656,1.28,19.4,7.634
473,598,1.26,16.7,3.815
492,632,1.28,16.5,3.81
470,600,1.28,15.4,3.814
457,590,1.29,16.2,3.825
491,673,1.37,15.9,7.68
328,479,0,30.9,8.952
473,647,1.37,18.2,7.69
498,662,1.33,16.1,7.706
508,677,1.33,15.7,7.688
505,678,1.34,16.1,7.757
507,679,1.34,16.3,7.701
500,671,1.34,16,7.713
492,666,1.35,16.6,7.739
491,673,1.37,15.9,7.679
462,586,1.27,17.4,0.954
464,583,1.26,16.8,0.951
456,593,1.3,17.4,0.951
458,583,1.27,17.6,0.954
462,586,1.27,17.4,0.954
525,682,1.3,18.1,7.783
